id, make_id, name, type_id, created_at, updated_at
1,1,378 GT Zagato,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
2,1,ACE,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3,1,Aceca,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
4,1,Cobra,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
5,2,CL,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
6,2,CSX,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
7,2,EL,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
8,2,ILX,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
9,2,Integra,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
10,2,Legend,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
11,2,MDX,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
12,2,NSX,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
13,2,RDX,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
14,2,RL,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
16,2,RSX,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
17,2,SLX,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
18,2,TL,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
19,2,TSX,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
20,2,ZDX,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
21,3,145,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
22,3,146,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
23,3,147,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
24,3,155,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
25,3,156,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
26,3,159,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
27,3,164,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
28,3,166,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
29,3,33,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
30,3,4C,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
31,3,Alfa 6,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
32,3,75,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
33,3,8C Competizione,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
34,3,90,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
35,3,Alfasud,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
36,3,Alfetta,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
37,3,Arna,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
38,3,Brera,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
39,3,Giulia,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
40,3,Giulietta,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
41,3,GT,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
43,3,GTV,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
44,3,MiTo,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
45,3,Montreal,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
47,3,Spider,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
50,4,A110,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
52,4,A610,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
55,6,Atom,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
56,7,10,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
57,7,24,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
59,8,Rocsta,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
61,9,Cygnet,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
62,9,DB7,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
63,9,DB9,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
64,9,DBS,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
65,9,Lagonda,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
66,9,One-77,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
67,9,Rapide,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
69,9,Vanquish,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
71,9,V12 Zagato,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
74,9,Virage,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
75,10,100,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
76,10,200,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
77,10,50,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
78,10,80,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
79,10,90,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
80,10,A1,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
81,10,A2,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
82,10,A3,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
84,10,A4,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
85,10,A5,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
86,10,Allroad,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
87,10,A6,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
88,10,A7,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
89,10,A8,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
90,10,Cabriolet,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
91,10,Coupe,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
93,10,Q3,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
94,10,Q5,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
95,10,Q7,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
96,10,Quattro,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
97,10,R8,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
98,10,RS Q3,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
100,10,RS 3,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
101,10,RS 4,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
102,10,RS 5,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
103,10,RS 6,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
104,10,RS 7,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
105,10,S1,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
106,10,S2,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
107,10,S3,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
108,10,S4,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
109,10,S5,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
110,10,S6,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
111,10,S7,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
112,10,S8,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
113,10,SQ5,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
114,10,TT,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
115,10,V8,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
116,11,Allegro,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
120,11,Mini Metro,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
122,11,Montego,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
126,14,BJ 2020,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
128,15,Arnage,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
129,15,Azure,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
